name,weight
Unknown,30
Abyssinian,9
Domestic Bobtail,9.5
Domestic Longhair,15
Domestic Shorthair,11
Domestic Mediumhair,16.5
American Wirehair,13.5
American Shorthair,11
Balinese,8
Bengal,17
Birman,9
Bombay,11.5
British Shorthair,11.5
Burmese,15
Chartreux,10
Colorpoint Shorthair,8
Cornish Rex,9
Cymric,10
Devon Rex,6.5
Egyptian Mau,8
European Burmese,8
Exotic Shorthair,10.5
Havana Brown,6.5
Himalayan,11.5
Japanese Bobtail,8
Javanese,8
Korat,9
Laperm,8
Maine Coon,15.5
Manx,10
Pixiebob Shorthair,11
Norwegian Forest Cat,16
Ocicat,10
Oriental,11.5
Oriental Shorthair,11.5
Persian,11.5
Ragamuffin,15
Ragdoll,15
Russian Blue,9.5
Scottish Fold,11
Selkirk Rex,10
Siamese,11.5
Siberian,15
Singapura,6.5
Somali,10
Snowshoe,9
Sphynx,11.5
Tiffany/Chantilly,9
Tonkinese,9
Turkish Angora,9
Angora,9
Cane Corso,93
Turkish Van,12
Affenpinscher,8
Affenpinscher,8
Affenpinscher,8
Afghan Hound,55
Afghan Hound,60
Afghan Hound,50
Airedale Terrier,45
Airedale Terrier,45
Airedale Terrier,45
Akbash,105
Akbash,120
Akbash,90
Akita,97.5
Akita,107.5
Akita,87.5
Alapaha Blue Blood Bulldog,89
Alapaha Blue Blood Bulldog,100
Alapaha Blue Blood Bulldog,78
Alaskan Klee Kai,16.5
Alaskan Klee Kai,16.5
Alaskan Klee Kai,16.5
Alaskan Malamute,80
Alaskan Malamute,85
Alaskan Malamute,75
American Bulldog,87.5
American Bulldog,95
American Bulldog,80
American English Coonhound,52.5
American English Coonhound,52.5
American English Coonhound,52.5
Treeing Tennesse Brindle,44
American Eskimo,23
American Eskimo,23
Munchkin Shorthair,7
Munchkin Longhair,7
Pbgv,38
Dandie Dinmont,22
American Eskimo,23
American Foxhound,70
American Foxhound,72.5
American Foxhound,67.5
English Foxhound,70
American Hairless Terrier,10.5
American Hairless Terrier,10.5
American Hairless Terrier,10.5
Pit Bull,47.5
American Pit Bull Terrier,63.5
American Pit Bull Terrier,61
American Pit Bull Terrier,66
American Staffordshire Terrier,62
American Staffordshire Terrier,62
American Staffordshire Terrier,62
American Water Spaniel,35
American Water Spaniel,37.5
American Water Spaniel,32.5
Anatol Shepherd,115
Anatol Shepherd,130
Anatol Shepherd,100
Blue Lacy,40
Appenzell Mountain Dog,60
Appenzell Mountain Dog,65
Appenzell Mountain Dog,55
Argentine Dogo,90
Argentine Dogo,95
Argentine Dogo,85
AussieDoodle,47.5
AussieDoodle,47.5
AussieDoodle,47.5
Australian Cattle Dog,34
Australian Cattle Dog,34
Australian Cattle Dog,34
Australian Kelpie,35
Australian Kelpie,35
Australian Kelpie,35
